성별,나이,키,몸무게,BMI,BMI_분류,추천 운동 횟수,추천식단
남성,33,163,67,25.2,비만 1단계,3,채식
여성,26,174,61,20.1,정상,0,없음
남성,26,164,73,27.1,비만 1단계,3,채식
여성,35,156,68,27.9,비만 1단계,3,채식
여성,17,168,90,31.9,비만 2단계,4,채식
여성,16,165,48,17.6,저체중,0,없음
남성,35,157,45,18.3,저체중,0,없음
남성,18,151,90,39.5,비만 3단계,5,단백질식
남성,14,164,80,29.7,비만 1단계,3,채식
여성,33,166,60,21.8,정상,0,없음
여성,40,176,93,30,비만 2단계,4,저염식
남성,24,157,54,21.9,정상,0,없음
남성,32,185,68,19.9,정상,0,없음
남성,26,177,71,22.7,정상,0,없음
남성,35,182,99,29.9,비만 1단계,3,저염식
여성,13,159,66,26.1,비만 1단계,3,단백질식
남성,13,179,92,28.7,비만 1단계,3,단백질식
여성,37,161,87,33.6,비만 2단계,4,채식
여성,19,162,49,18.7,정상,0,없음
남성,17,172,96,32.4,비만 2단계,4,저염식
여성,38,168,66,23.4,비만 3단계,5,채식
여성,30,172,90,30.4,비만 2단계,4,저염식
여성,27,182,47,14.2,저체중,0,없음
남성,19,160,86,33.6,비만 2단계,4,채식
남성,21,178,88,27.8,비만 1단계,3,채식
남성,18,154,95,40.1,비만 3단계,5,단백질식
남성,36,169,89,31.2,비만 2단계,4,채식
남성,25,156,94,38.6,비만 3단계,5,채식
여성,31,164,94,34.9,비만 2단계,4,채식
여성,36,171,55,18.8,정상,0,없음
남성,37,170,46,15.9,저체중,0,없음
남성,29,165,79,29,비만 1단계,3,단백질식
남성,17,163,60,22.6,정상,0,없음
남성,18,152,76,32.9,비만 2단계,4,저염식
여성,33,178,78,24.6,비만 3단계,5,저염식
남성,14,152,73,31.6,비만 2단계,4,단백질식
남성,37,151,96,42.1,비만 3단계,5,저염식
여성,34,171,98,33.5,비만 2단계,4,저염식
남성,26,183,81,24.2,비만 3단계,5,저염식
여성,15,171,47,16.1,저체중,0,없음
여성,12,160,52,20.3,정상,0,없음
여성,14,159,61,24.1,비만 3단계,5,단백질식
남성,30,162,89,33.9,비만 2단계,4,채식
남성,26,164,60,22.3,정상,0,없음
여성,20,158,51,20.4,정상,0,없음
남성,35,159,62,24.5,비만 3단계,5,저염식
남성,35,170,67,23.2,비만 3단계,5,채식
여성,14,166,87,31.6,비만 2단계,4,채식
남성,36,158,47,18.8,정상,0,없음
남성,33,173,93,31.1,비만 2단계,4,채식
여성,21,167,86,30.8,비만 2단계,4,채식
여성,30,153,41,17.5,저체중,0,없음
여성,37,175,100,32.7,비만 2단계,4,저염식
여성,27,164,76,28.3,비만 1단계,3,단백질식
여성,40,153,42,17.9,저체중,0,없음
여성,26,168,41,14.5,저체중,0,없음
남성,24,177,81,25.9,비만 1단계,3,저염식
여성,30,166,77,27.9,비만 1단계,3,단백질식
남성,10,152,94,40.7,비만 3단계,5,저염식
남성,14,154,52,21.9,정상,0,없음
남성,38,156,44,18.1,저체중,0,없음
남성,28,152,100,43.3,비만 3단계,5,단백질식
남성,13,163,61,23,비만 3단계,5,저염식
남성,36,175,42,13.7,저체중,0,없음
여성,17,160,82,32,비만 2단계,4,저염식
여성,23,173,95,31.7,비만 2단계,4,채식
여성,40,165,94,34.5,비만 2단계,4,단백질식
남성,28,152,98,42.4,비만 3단계,5,저염식
여성,23,184,40,11.8,저체중,0,없음
여성,10,166,52,18.9,정상,0,없음
여성,33,158,40,16,저체중,0,없음
여성,12,160,65,25.4,비만 1단계,3,저염식
여성,14,150,46,20.4,정상,0,없음
남성,15,153,69,29.5,비만 1단계,3,채식
여성,17,173,44,14.7,저체중,0,없음
남성,36,175,49,16,저체중,0,없음
남성,14,173,72,24.1,비만 3단계,5,저염식
남성,39,178,62,19.6,정상,0,없음
여성,30,171,42,14.4,저체중,0,없음
남성,19,165,79,29,비만 1단계,3,저염식
남성,39,155,74,30.8,비만 2단계,4,단백질식
남성,23,176,45,14.5,저체중,0,없음
여성,27,157,51,20.7,정상,0,없음
남성,38,154,65,27.4,비만 1단계,3,저염식
여성,29,172,92,31.1,비만 2단계,4,저염식
여성,10,180,52,16,저체중,0,없음
여성,34,162,69,26.3,비만 1단계,3,저염식
남성,32,183,78,23.3,비만 3단계,5,단백질식
남성,19,171,80,27.4,비만 1단계,3,저염식
여성,20,173,89,29.7,비만 1단계,3,저염식
남성,25,180,99,30.6,비만 2단계,4,저염식
여성,22,173,94,31.4,비만 2단계,4,저염식
여성,13,152,57,24.7,비만 3단계,5,채식
여성,37,178,96,30.3,비만 2단계,4,채식
여성,40,169,72,25.2,비만 1단계,3,단백질식
남성,16,150,42,18.7,정상,0,없음
여성,30,156,77,31.6,비만 2단계,4,단백질식
남성,10,170,83,28.7,비만 1단계,3,채식
여성,11,168,44,15.6,저체중,0,없음
남성,19,160,72,28.1,비만 1단계,3,채식
여성,31,180,98,30.2,비만 2단계,4,단백질식
여성,40,153,41,17.5,저체중,0,없음
남성,21,158,93,37.3,비만 3단계,5,단백질식
남성,39,180,77,23.8,비만 3단계,5,단백질식
남성,16,162,45,17.1,저체중,0,없음
남성,21,156,65,26.7,비만 1단계,3,채식
여성,35,185,79,23.1,비만 3단계,5,단백질식
여성,25,161,45,17.4,저체중,0,없음
여성,28,164,74,27.5,비만 1단계,3,채식
여성,39,175,53,17.3,저체중,0,없음
여성,22,175,78,25.5,비만 1단계,3,채식
남성,14,164,48,17.8,저체중,0,없음
여성,14,161,94,36.3,비만 3단계,5,채식
여성,22,185,91,26.6,비만 1단계,3,저염식
여성,16,172,41,13.9,저체중,0,없음
여성,21,160,73,28.5,비만 1단계,3,저염식
남성,30,153,45,19.2,정상,0,없음
여성,38,181,62,18.9,정상,0,없음
여성,10,174,74,24.4,비만 3단계,5,채식
남성,38,176,49,15.8,저체중,0,없음
남성,15,185,80,23.4,비만 3단계,5,단백질식
여성,26,170,82,28.4,비만 1단계,3,채식
여성,10,173,67,22.4,정상,0,없음
여성,26,177,79,25.2,비만 1단계,3,저염식
여성,19,165,56,20.6,정상,0,없음
여성,18,180,100,30.9,비만 2단계,4,저염식
남성,29,171,46,15.7,저체중,0,없음
여성,23,181,51,15.6,저체중,0,없음
남성,11,150,49,21.8,정상,0,없음
남성,26,178,99,31.2,비만 2단계,4,저염식
남성,36,157,73,29.6,비만 1단계,3,단백질식
여성,20,169,61,21.4,정상,0,없음
남성,40,163,52,19.6,정상,0,없음
남성,21,164,64,23.8,비만 3단계,5,저염식
여성,14,170,48,16.6,저체중,0,없음
여성,14,170,75,26,비만 1단계,3,단백질식
남성,27,152,99,42.8,비만 3단계,5,단백질식
여성,38,162,66,25.1,비만 1단계,3,저염식
남성,31,170,70,24.2,비만 3단계,5,단백질식
여성,19,160,92,35.9,비만 3단계,5,채식
여성,31,157,58,23.5,비만 3단계,5,채식
남성,18,185,100,29.2,비만 1단계,3,저염식
남성,14,172,67,22.6,정상,0,없음
여성,21,174,92,30.4,비만 2단계,4,저염식
여성,28,177,53,16.9,저체중,0,없음
남성,13,166,86,31.2,비만 2단계,4,채식
여성,23,177,40,12.8,저체중,0,없음
남성,31,181,69,21.1,정상,0,없음
남성,30,162,87,33.2,비만 2단계,4,단백질식
남성,32,181,100,30.5,비만 2단계,4,저염식
여성,33,156,73,30,비만 2단계,4,채식
여성,34,153,95,40.6,비만 3단계,5,채식
여성,36,169,76,26.6,비만 1단계,3,채식
남성,19,158,64,25.6,비만 1단계,3,저염식
여성,23,179,49,15.3,저체중,0,없음
여성,31,185,45,13.1,저체중,0,없음
여성,13,156,73,30,비만 2단계,4,단백질식
여성,15,177,45,14.4,저체중,0,없음
여성,24,174,77,25.4,비만 1단계,3,단백질식
여성,17,153,100,42.7,비만 3단계,5,저염식
남성,37,164,60,22.3,정상,0,없음
남성,18,185,48,14,저체중,0,없음
여성,38,180,67,20.7,정상,0,없음
여성,40,152,83,35.9,비만 3단계,5,단백질식
남성,24,156,53,21.8,정상,0,없음
여성,32,158,61,24.4,비만 3단계,5,채식
여성,38,178,73,23,비만 3단계,5,저염식
여성,11,182,89,26.9,비만 1단계,3,단백질식
남성,25,183,91,27.2,비만 1단계,3,채식
여성,38,170,91,31.5,비만 2단계,4,채식
남성,24,175,52,17,저체중,0,없음
여성,15,178,72,22.7,정상,0,없음
남성,37,163,90,33.9,비만 2단계,4,단백질식
남성,15,161,67,25.8,비만 1단계,3,채식
남성,25,151,86,37.7,비만 3단계,5,단백질식
남성,26,160,43,16.8,저체중,0,없음
남성,24,179,45,14,저체중,0,없음
남성,36,159,73,28.9,비만 1단계,3,채식
여성,29,156,65,26.7,비만 1단계,3,채식
남성,12,174,40,13.2,저체중,0,없음
여성,17,177,99,31.6,비만 2단계,4,저염식
남성,16,155,94,39.1,비만 3단계,5,채식
여성,19,178,90,28.4,비만 1단계,3,저염식
여성,14,151,65,28.5,비만 1단계,3,채식
남성,17,176,94,30.3,비만 2단계,4,채식
남성,22,177,68,21.7,정상,0,없음
남성,40,172,100,33.8,비만 2단계,4,저염식
남성,11,184,57,16.8,저체중,0,없음
남성,34,155,96,40,비만 3단계,5,채식
남성,13,165,51,18.7,정상,0,없음
남성,18,170,92,31.8,비만 2단계,4,채식
남성,10,183,70,20.9,정상,0,없음
여성,22,156,84,34.5,비만 2단계,4,채식
남성,11,162,42,16,저체중,0,없음
남성,10,179,88,27.5,비만 1단계,3,채식
여성,29,166,82,29.8,비만 1단계,3,저염식
여성,33,153,42,17.9,저체중,0,없음
남성,19,168,52,18.4,저체중,0,없음
여성,20,150,72,32,비만 2단계,4,채식
여성,37,168,47,16.7,저체중,0,없음
여성,37,159,47,18.6,정상,0,없음
남성,18,168,65,23,비만 3단계,5,단백질식
여성,37,181,48,14.7,저체중,0,없음
남성,28,173,95,31.7,비만 2단계,4,저염식
여성,28,161,84,32.4,비만 2단계,4,저염식
여성,19,157,94,38.1,비만 3단계,5,단백질식
남성,19,167,99,35.5,비만 3단계,5,저염식
여성,24,177,48,15.3,저체중,0,없음
남성,25,180,73,22.5,정상,0,없음
남성,24,181,60,18.3,저체중,0,없음
남성,19,169,50,17.5,저체중,0,없음
여성,18,162,45,17.1,저체중,0,없음
여성,34,174,94,31,비만 2단계,4,저염식
여성,16,156,84,34.5,비만 2단계,4,단백질식
남성,18,160,66,25.8,비만 1단계,3,단백질식
남성,16,172,75,25.4,비만 1단계,3,채식
여성,19,162,91,34.7,비만 2단계,4,단백질식
여성,20,183,93,27.8,비만 1단계,3,저염식
여성,20,155,100,41.6,비만 3단계,5,채식
여성,15,155,44,18.3,저체중,0,없음
남성,11,185,81,23.7,비만 3단계,5,채식
여성,33,164,52,19.3,정상,0,없음
남성,31,170,42,14.5,저체중,0,없음
여성,25,168,60,21.3,정상,0,없음
남성,19,178,41,12.9,저체중,0,없음
여성,38,170,52,18,저체중,0,없음
여성,39,179,55,17.2,저체중,0,없음
여성,21,172,72,24.3,비만 3단계,5,저염식
남성,33,178,90,28.4,비만 1단계,3,채식
여성,28,180,41,12.7,저체중,0,없음
남성,15,154,77,32.5,비만 2단계,4,채식
여성,30,165,51,18.7,정상,0,없음
여성,39,153,42,17.9,저체중,0,없음
남성,26,184,87,25.7,비만 1단계,3,단백질식
남성,38,171,70,23.9,비만 3단계,5,저염식
남성,22,165,98,36,비만 3단계,5,단백질식
남성,37,150,69,30.7,비만 2단계,4,단백질식
남성,31,184,87,25.7,비만 1단계,3,채식
남성,29,153,97,41.4,비만 3단계,5,저염식
남성,23,166,77,27.9,비만 1단계,3,단백질식
여성,13,178,72,22.7,정상,0,없음
남성,15,174,44,14.5,저체중,0,없음
남성,10,182,54,16.3,저체중,0,없음
남성,31,178,65,20.5,정상,0,없음
남성,25,153,96,41,비만 3단계,5,저염식
남성,29,161,44,17,저체중,0,없음
여성,25,185,95,27.8,비만 1단계,3,채식
남성,37,175,76,24.8,비만 3단계,5,채식
여성,27,183,48,14.3,저체중,0,없음
여성,14,175,43,14,저체중,0,없음
여성,10,181,82,25,비만 1단계,3,단백질식
여성,30,184,82,24.2,비만 3단계,5,단백질식
남성,25,181,93,28.4,비만 1단계,3,단백질식
남성,39,175,78,25.5,비만 1단계,3,저염식
남성,27,154,61,25.7,비만 1단계,3,단백질식
여성,30,158,46,18.4,저체중,0,없음
여성,15,163,86,32.4,비만 2단계,4,단백질식
남성,21,164,74,27.5,비만 1단계,3,단백질식
여성,13,174,92,30.4,비만 2단계,4,채식
여성,29,182,48,14.5,저체중,0,없음
여성,33,157,94,38.1,비만 3단계,5,채식
남성,25,165,42,15.4,저체중,0,없음
여성,15,167,59,21.2,정상,0,없음
여성,34,172,55,18.6,정상,0,없음
여성,26,167,65,23.3,비만 3단계,5,채식
여성,16,150,89,39.6,비만 3단계,5,단백질식
여성,13,174,45,14.9,저체중,0,없음
여성,36,164,77,28.6,비만 1단계,3,단백질식
남성,26,179,75,23.4,비만 3단계,5,단백질식
남성,40,181,54,16.5,저체중,0,없음
남성,32,165,50,18.4,저체중,0,없음
여성,36,152,55,23.8,비만 3단계,5,저염식
남성,31,151,78,34.2,비만 2단계,4,저염식
남성,17,175,41,13.4,저체중,0,없음
여성,16,163,95,35.8,비만 3단계,5,채식
남성,23,156,97,39.9,비만 3단계,5,단백질식
남성,16,175,77,25.1,비만 1단계,3,채식
남성,26,154,40,16.9,저체중,0,없음
여성,38,170,88,30.4,비만 2단계,4,단백질식
남성,36,170,61,21.1,정상,0,없음
남성,36,179,58,18.1,저체중,0,없음
여성,23,161,49,18.9,정상,0,없음
여성,22,172,42,14.2,저체중,0,없음
남성,28,160,54,21.1,정상,0,없음
여성,14,154,49,20.7,정상,0,없음
남성,21,170,80,27.7,비만 1단계,3,저염식
여성,15,157,52,21.1,정상,0,없음
남성,26,177,99,31.6,비만 2단계,4,저염식
남성,14,182,94,28.4,비만 1단계,3,단백질식
여성,24,157,87,35.3,비만 3단계,5,채식
여성,11,167,44,15.8,저체중,0,없음
여성,35,177,48,15.3,저체중,0,없음
여성,26,173,55,18.4,저체중,0,없음
남성,37,184,67,19.8,정상,0,없음
남성,31,177,62,19.8,정상,0,없음
남성,12,167,67,24,비만 3단계,5,저염식
여성,13,171,92,31.5,비만 2단계,4,저염식
남성,12,174,40,13.2,저체중,0,없음
여성,37,178,86,27.1,비만 1단계,3,단백질식
여성,28,151,43,18.9,정상,0,없음
남성,21,161,64,24.7,비만 3단계,5,단백질식
남성,10,154,81,34.2,비만 2단계,4,저염식
여성,20,182,64,19.3,정상,0,없음
여성,40,183,84,25.1,비만 1단계,3,저염식
남성,22,172,59,19.9,정상,0,없음
남성,11,156,90,37,비만 3단계,5,단백질식
여성,28,172,56,18.9,정상,0,없음
여성,35,162,98,37.3,비만 3단계,5,저염식
남성,10,181,73,22.3,정상,0,없음
여성,24,154,78,32.9,비만 2단계,4,저염식
남성,40,161,78,30.1,비만 2단계,4,저염식
남성,40,170,52,18,저체중,0,없음
여성,15,166,60,21.8,정상,0,없음
남성,32,168,66,23.4,비만 3단계,5,단백질식
남성,23,179,84,26.2,비만 1단계,3,저염식
여성,29,158,53,21.2,정상,0,없음
여성,28,150,60,26.7,비만 1단계,3,채식
여성,18,163,42,15.8,저체중,0,없음
여성,19,159,85,33.6,비만 2단계,4,채식
남성,14,154,77,32.5,비만 2단계,4,단백질식
여성,13,153,61,26.1,비만 1단계,3,채식
남성,28,176,78,25.2,비만 1단계,3,단백질식
남성,14,175,51,16.7,저체중,0,없음
남성,16,181,70,21.4,정상,0,없음
여성,37,161,58,22.4,정상,0,없음
남성,34,169,51,17.9,저체중,0,없음
여성,32,162,46,17.5,저체중,0,없음
남성,26,178,49,15.5,저체중,0,없음
남성,34,164,100,37.2,비만 3단계,5,저염식
남성,11,160,85,33.2,비만 2단계,4,채식
남성,12,150,100,44.4,비만 3단계,5,단백질식
여성,37,179,86,26.8,비만 1단계,3,단백질식
여성,10,160,100,39.1,비만 3단계,5,채식
여성,27,156,65,26.7,비만 1단계,3,단백질식
남성,33,156,79,32.5,비만 2단계,4,저염식
여성,34,167,45,16.1,저체중,0,없음
남성,17,151,86,37.7,비만 3단계,5,단백질식
남성,40,174,51,16.8,저체중,0,없음
남성,30,152,60,26,비만 1단계,3,채식
여성,33,160,90,35.2,비만 3단계,5,저염식
남성,20,185,44,12.9,저체중,0,없음
여성,23,173,48,16,저체중,0,없음
남성,26,167,89,31.9,비만 2단계,4,단백질식
여성,30,167,50,17.9,저체중,0,없음
남성,39,151,61,26.8,비만 1단계,3,단백질식
여성,20,175,48,15.7,저체중,0,없음
여성,27,178,64,20.2,정상,0,없음
남성,18,182,65,19.6,정상,0,없음
여성,36,158,91,36.5,비만 3단계,5,저염식
여성,27,179,79,24.7,비만 3단계,5,단백질식
여성,15,181,83,25.3,비만 1단계,3,채식
여성,18,154,77,32.5,비만 2단계,4,저염식
여성,24,169,72,25.2,비만 1단계,3,저염식
남성,40,178,87,27.5,비만 1단계,3,단백질식
남성,33,185,97,28.3,비만 1단계,3,저염식
남성,16,163,57,21.5,정상,0,없음
남성,19,174,80,26.4,비만 1단계,3,채식
여성,28,164,68,25.3,비만 1단계,3,단백질식
여성,10,159,64,25.3,비만 1단계,3,채식
여성,31,179,55,17.2,저체중,0,없음
남성,32,154,62,26.1,비만 1단계,3,저염식
여성,32,163,57,21.5,정상,0,없음
여성,18,183,66,19.7,정상,0,없음
남성,25,153,100,42.7,비만 3단계,5,단백질식
남성,38,159,73,28.9,비만 1단계,3,채식
남성,28,171,79,27,비만 1단계,3,저염식
여성,24,168,81,28.7,비만 1단계,3,채식
여성,26,163,86,32.4,비만 2단계,4,채식
여성,16,169,52,18.2,저체중,0,없음
남성,16,175,85,27.8,비만 1단계,3,단백질식
남성,32,184,93,27.5,비만 1단계,3,단백질식
남성,13,164,89,33.1,비만 2단계,4,저염식
남성,36,158,93,37.3,비만 3단계,5,채식
남성,12,163,53,19.9,정상,0,없음
남성,16,153,87,37.2,비만 3단계,5,단백질식
여성,39,154,85,35.8,비만 3단계,5,채식
남성,17,178,80,25.2,비만 1단계,3,저염식
남성,35,176,89,28.7,비만 1단계,3,단백질식
남성,33,176,46,14.9,저체중,0,없음
남성,27,158,89,35.7,비만 3단계,5,채식
여성,39,158,62,24.8,비만 3단계,5,채식
여성,25,182,56,16.9,저체중,0,없음
여성,29,168,87,30.8,비만 2단계,4,저염식
남성,30,155,43,17.9,저체중,0,없음
여성,12,178,82,25.9,비만 1단계,3,단백질식
여성,38,171,53,18.1,저체중,0,없음
남성,27,163,66,24.8,비만 3단계,5,저염식
남성,21,177,74,23.6,비만 3단계,5,채식
남성,21,180,64,19.8,정상,0,없음
여성,27,154,66,27.8,비만 1단계,3,단백질식
남성,39,172,97,32.8,비만 2단계,4,단백질식
남성,37,160,98,38.3,비만 3단계,5,단백질식
여성,27,179,64,20,정상,0,없음
여성,13,183,76,22.7,정상,0,없음
여성,34,177,58,18.5,정상,0,없음
남성,40,168,76,26.9,비만 1단계,3,단백질식
여성,31,164,96,35.7,비만 3단계,5,채식
여성,37,185,88,25.7,비만 1단계,3,단백질식
남성,21,158,79,31.6,비만 2단계,4,단백질식
여성,37,151,81,35.5,비만 3단계,5,단백질식
남성,40,166,71,25.8,비만 1단계,3,단백질식
남성,19,182,99,29.9,비만 1단계,3,단백질식
여성,13,166,83,30.1,비만 2단계,4,단백질식
여성,21,168,94,33.3,비만 2단계,4,저염식
여성,10,181,42,12.8,저체중,0,없음
남성,37,163,50,18.8,정상,0,없음
여성,11,182,79,23.8,비만 3단계,5,채식
남성,20,156,83,34.1,비만 2단계,4,단백질식
여성,31,178,71,22.4,정상,0,없음
여성,29,155,56,23.3,비만 3단계,5,채식
여성,40,159,86,34,비만 2단계,4,단백질식
여성,30,164,83,30.9,비만 2단계,4,단백질식
남성,24,170,56,19.4,정상,0,없음
여성,37,172,63,21.3,정상,0,없음
여성,28,158,48,19.2,정상,0,없음
여성,32,179,41,12.8,저체중,0,없음
여성,14,166,81,29.4,비만 1단계,3,채식
